orig_idx,k,flipped_indices,status,incorrect_count,correct_count,total_error_fixed
1,2,11;42,-1,0,0,2
1,2,11;44,-1,0,0,2
1,2,11;46,-1,0,0,2
1,2,11;47,-1,0,0,2
1,2,11;48,-1,0,0,2
1,2,11;50,-1,0,0,2
1,2,11;51,-1,0,0,2
1,2,11;52,-1,0,0,2
1,2,11;53,-1,0,0,2
1,2,11;57,-1,0,0,2
1,2,11;60,-1,0,0,2
1,2,11;61,-1,0,0,2
1,2,11;66,-1,0,0,2
1,2,11;67,-1,0,0,2
1,2,11;75,-1,0,0,2
1,2,11;76,-1,0,0,2
1,2,11;79,-1,0,0,2
1,2,12;13,-1,0,0,2
1,2,12;14,-1,0,0,2
1,2,12;15,-1,0,0,2
1,2,12;19,-1,0,0,2
1,2,12;23,-1,0,0,2
1,2,12;32,-1,0,0,2
1,2,12;33,-1,0,0,2
1,2,12;34,-1,0,0,2
1,2,12;35,-1,0,0,2
1,2,12;37,-1,0,0,2
1,2,12;42,-1,0,0,2
1,2,12;44,-1,0,0,2
1,2,12;46,-1,0,0,2
1,2,12;47,-1,0,0,2
1,2,12;48,-1,0,0,2
1,2,12;50,-1,0,0,2
1,2,12;51,-1,0,0,2
1,2,12;52,-1,0,0,2
1,2,12;53,-1,0,0,2
1,2,12;57,-1,0,0,2
1,2,12;60,-1,0,0,2
1,2,12;61,-1,0,0,2
1,2,12;66,-1,0,0,2
1,2,12;67,-1,0,0,2
1,2,12;75,-1,0,0,2
1,2,12;76,-1,0,0,2
1,2,12;79,-1,0,0,2
1,2,13;14,-1,0,0,2
1,2,13;15,-1,0,0,2
1,2,13;19,-1,0,0,2
1,2,13;23,-1,0,0,2
1,2,13;32,-1,0,0,2
1,2,13;33,-1,0,0,2
1,2,13;34,-1,0,0,2
1,2,13;35,-1,0,0,2
1,2,13;37,-1,0,0,2
1,2,13;42,-1,0,0,2
1,2,13;44,-1,0,0,2
1,2,13;46,-1,0,0,2
1,2,13;47,-1,0,0,2
1,2,13;48,-1,0,0,2
1,2,13;50,-1,0,0,2
1,2,13;51,-1,0,0,2
1,2,13;52,-1,0,0,2
1,2,13;53,-1,0,0,2
1,2,13;57,-1,0,0,2
1,2,13;60,-1,0,0,2
1,2,13;61,-1,0,0,2
1,2,13;66,-1,0,0,2
1,2,13;67,-1,0,0,2
1,2,13;75,-1,0,0,2
1,2,13;76,-1,0,0,2
1,2,13;79,-1,0,0,2
1,2,14;15,-1,0,0,2
1,2,14;19,-1,0,0,2
1,2,14;23,-1,0,0,2
1,2,14;32,-1,0,0,2
1,2,14;33,-1,0,0,2
1,2,14;34,-1,0,0,2
1,2,14;35,-1,0,0,2
